simulation,ignition,weather
204,1695,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather42.csv
205,692,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather59.csv
206,2404,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather68.csv
207,2021,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather56.csv
208,8552,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather118.csv
209,632,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather110.csv
210,1014,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather103.csv
211,3993,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather5.csv
212,696,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather6.csv
213,8874,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather61.csv
214,9946,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather84.csv
215,7176,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather87.csv
216,2634,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather70.csv
217,3663,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather60.csv
218,488,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather27.csv
219,6557,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather114.csv
220,367,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather29.csv
221,1667,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather27.csv
222,8763,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather51.csv
223,7934,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather29.csv
224,8707,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather66.csv
225,5884,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather92.csv
226,7576,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather42.csv
227,4097,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather34.csv
228,7430,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather87.csv
229,5138,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather85.csv
230,5043,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather67.csv
231,6376,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather51.csv
232,665,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather111.csv
233,7028,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather52.csv
234,3915,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather20.csv
235,8234,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather40.csv
236,9663,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather103.csv
237,5078,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather51.csv
238,3531,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather37.csv
239,2867,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather96.csv
240,9939,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather4.csv
241,843,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather121.csv
242,9375,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather30.csv
243,7730,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather62.csv
244,5528,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather27.csv
245,2789,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather73.csv
246,2308,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather18.csv
247,3866,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather69.csv
248,2658,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather58.csv
249,65,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather39.csv
250,3754,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather95.csv
251,2454,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather112.csv
252,2683,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather51.csv
253,5267,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather19.csv
254,1412,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather66.csv
255,696,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather64.csv
256,7996,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather98.csv
257,8206,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather30.csv
258,8420,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather47.csv
259,2664,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather49.csv
260,7834,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather1.csv
261,1864,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather76.csv
262,8583,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather120.csv
263,6062,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather42.csv
264,1171,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather107.csv
265,1636,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather6.csv
266,3002,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather65.csv
267,3102,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather121.csv
268,9122,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather9.csv
